BL,Nom Commercial,concerned products,Managed by Orange Business ?,Vendor 1,Vendor 2,Vendor 3
Smart Mobility Services,eUICC M2M (eSIM),Mobile Solution,Yes,,, 
Smart Mobility Services,Expensya,Mobile Business App,NA,,, 
Smart Mobility Services,Fleet Management,Mobile Device Management solution,Yes,MobileIron,VMWare, 
Smart Mobility Services,FreeMove Alliance,International Mobile Solution,NA,,, 
Smart Mobility Services,Gamme IoT Connect ,IoT,Yes,,, 
Smart Mobility Services,Gestion de Lignes Mobiles : commande en accord cadre et gestion de parc,Professional Services,NA,,, 
Smart Mobility Services,IoT Connect Low Power,IoT,Yes,,, 
Smart Mobility Services,IoT Services,IoT,Yes,,, 
Smart Mobility Services,L'Assistance Professionnelle,Professional Services,NA,,, 
Smart Mobility Services,L'Assurance et Orange Premier,Mobile Insurrance,Yes,,, 
Smart Mobility Services,"Performance Grand Client, Abonnement et Options connect",Mobile Solution,Yes,,, 
Smart Mobility Services,Les terminaux reconditionnés,Mobile Phones,Yes,,, 
Smart Mobility Services,Live Button,IoT,Yes,,, 
Smart Mobility Services,Live Objects,IoT Platform management solution,Yes,,, 
Smart Mobility Services,Location et Sélection Premium,Mobile Solution,Yes,,, 
Smart Mobility Services,LTE-Machine (LTE-M) ,IoT,Yes,,, 
Smart Mobility Services,Meeting Board - Kiosque Visiteurs,Mobile Solution,Yes,,, 
Smart Mobility Services,Mobile Leasing,Mobile Solution,Yes,,, 
Smart Mobility Services,Mobile Private Network virtual,PRM,Yes,,, 
Smart Mobility Services,Mobile Workspace Management (MWM),Mobile Device Management solution,Yes,,, 
Smart Mobility Services,Multi-device Modern Management (3M),Mobile Device Management solution,Yes,,, 
Smart Mobility Services,Neosafe eSafeMe-PRO,Mobile Business App,NA,,, 
Smart Mobility Services,Open Bee,Mobile Business App,NA,,, 
Smart Mobility Services,Option carte jumelle,Mobile Solution,Yes,,, 
Smart Mobility Services,Option contrôle multimedia,Mobile Solution,Yes,,, 
Smart Mobility Services,Option restriction data ,Mobile Solution,Yes,,, 
Smart Mobility Services,Option Seuil,Mobile Solution,Yes,,, 
Smart Mobility Services,Options smartphone connect,Mobile Solution,Yes,,, 
Smart Mobility Services,Orange Business Lounge (OBL),Mobile Business App,NA,,, 
Smart Mobility Services,Orange Expert,Professional Services,NA,,, 
Smart Mobility Services,Orange Reprise,Mobile Solution,Yes,,, 
Smart Mobility Services,Orange Téléphone Pro (OTP),Mobile Solution,Yes,,, 
Smart Mobility Services,Performance Entreprises (PE),Mobile Solution,Yes,,, 
Smart Mobility Services,Performance Entreprises co-terminus (PE co-ter),Mobile Solution,Yes,,, 
Smart Mobility Services,Performance Spécifique,Mobile Solution,Yes,,, 
Smart Mobility Services,Réalité Augmentée,Mobile Solution,Yes,,, 
Smart Mobility Services,Recyclage des mobiles,Mobile Solution,Yes,,, 
Smart Mobility Services,Répondeur Premium,Mobile Solution,Yes,,, 
Smart Mobility Services,"Roaming : Contrôle Conso, Ajustables et Pass 7 jours",Mobile Solution,Yes,,, 
Smart Mobility Services,Roaming : zoning et options de restriction,Mobile Solution,Yes,,, 
Smart Mobility Services,Secure Mobile Access,Mobile Solution,Yes,,, 
Smart Mobility Services,L'Engagement Réseau Mobile,Mobile Solution,Yes,,, 
Smart Mobility Services,Smart Eco-energy,IoT,Yes,,, 
Smart Mobility Services,smart office,IoT,Yes,,, 
Smart Mobility Services,smart office - Desk Now,IoT,Yes,,, 
Smart Mobility Services,smart office - Meeting In,IoT,Yes,,, 
Smart Mobility Services,smart office - Meeting Now,IoT,Yes,,, 
Smart Mobility Services,smart operations,IoT,Yes,,, 
Smart Mobility Services,Smart Parking,IoT,Yes,,, 
Smart Mobility Services,smart tracking,IoT,Yes,,, 
Smart Mobility Services,SMS internet,Mobile Solution,Yes,,, 
Smart Mobility Services,Stock de cartes SIM,Mobile Solution,Yes,,, 
Smart Mobility Services,Suivi Conso,Mobile Solution,Yes,,, 
Smart Mobility Services,Team Connect 2022,Mobile Solution,Yes,,, 
Smart Mobility Services,Voix 4G et Appels Wi-Fi (VoLTE - VoWi-Fi),Mobile Solution,Yes,,, 
Smart Mobility Services,Yousign,Mobile Business App,NA,,, 
Smart Mobility Services,Wifi Guest Pack,Wifi Guest as a Service,Yes,,, 
Smart Mobility Services,Wifi Guest Portail,Wifi Guest as a Service,Yes,,, 
Smart Mobility Services,SMS Internet,Mobile Solution,Yes,,, 
Smart Mobility Services,Computer Vision OSM,IoT,Yes,,, 
Smart Mobility Services,Option contrôle internet,Mobile Solution,Yes,,, 
Smart Mobility Services,Option IP publique,Mobile Solution,Yes,,, 
Smart Mobility Services,Antsroute,Mobile Business App,NA,,, 
Smart Mobility Services,E-convocations,Mobile Business App,NA,,, 
Smart Mobility Services,izOrder,Mobile Business App,NA,,, 
Smart Mobility Services,Kizeo,Mobile Business App,NA,,, 
Smart Mobility Services,Dalyo Domi ex-Mobile et Badge,Mobile Business App,NA,,, 
Smart Mobility Services,Monstock,Mobile Business App,NA,,, 
Smart Mobility Services,Nomalys,Mobile Business App,NA,,, 
Smart Mobility Services,Synchroteam,Mobile Business App,NA,,, 
Smart Mobility Services,XpertEye by AMA,Mobile Business App,NA,,, 
Smart Mobility Services,Service Client Conseil Mobiles,Professional Services,NA,,, 
Smart Mobility Services,Guichet Unique Mobile,Professional Services,NA,,,
