Signed Order Revenue,Existing Product,Contract Duration,Product Line,Access Fee,Previous Fee,New Fee,Quantity,Corrected Annual Revenue
HEBERGEMENT DANS LE CLOUD,,12 Months,Cloud,0,0,"64,200",1,"770,400"
MS PROJECT,,12 Months,Integration Services,"966,753",0,0,9,"966,753"
DEMANDE D'ACTIVATION DE NOM DE DOMAINE || 338677740,NOM DE DOMAINE .COM et AUTRE EXTENSION (hors .sn),12 Months,Cloud,"8,475",0,883,1,"19,071"
OSM TRUNK LEONIX AI,,12 Months,Integration Sales,"200,000",0,"42,154",1,"705,848"
FOURNITURE EQUIPEMENT RESEAUX FORTIGATE,,12 Months,Integration Sales,"8,625,617",0,0,1,"8,625,617"
M365 BUSINESS PREMIUM ET BASIC\_CSTM,,36 Months,Cloud,"400,000",0,"191,712",1,"2,700,544"
Fourniture et Installation d'un PABX grandstream\_ Commune de Saint Louis,,12 Months,Integration Services,"3,749,533",0,0,1,"3,749,533"
Installation et fourniture BOITIER FORTINET\_ Commune de saint louis,,12 Months,Integration Services,"4,730,347",0,0,1,"4,730,347"
Migration et mise à jour PABX avec remplacement de postes téléphoniques,,12 Months,Integration Sales,"2,365,466",0,0,1,"2,365,466"
PROMOBILE : RENOUVELLEMENT LICENCES FORTI SIEGE,,12 Months,Integration Sales,"9,344,928",0,0,1,"9,344,928"
SMIT-Refonte-reseaux-wifi-BATILUX,,12 Months,Integration Services,"1,393,824",0,0,1,"1,393,824"
PACK E-BUSINESS + Domaine.sn,Mon pack E-business,12 Months,Cloud,0,0,"10,169",1,"122,034"
PACK E-BUSINESS + Domaine.sn,NOM DE DOMAINE SENEGAL (.SN),12 Months,Cloud,0,0,"3,500",1,"42,000"
CLOUD THS HOLDING,,12 Months,Cloud,"350,000",0,"119,200",1,"1,780,400"
PCS OFFRE HEBERGEMENT PACK SILVER+ HOSTIONG PRO,,12 Months,Cloud,0,0,"30,000",1,"360,000"
PCS OFFRE HEBERGEMENT PACK SILVER+ HOSTIONG PRO,,12 Months,Cloud,0,0,"8,500",1,"102,000"
CONFIGURATION SYSTEME TELEPHONIQUE POUR BUSINESS TALK\_C2A SEN,,12 Months,Integration Services,"150,000",0,0,1,"150,000"
OFFRE CLOUD IaaS HUAWEI\_DABYAN SARL,,36 Months,Cloud,"400,000",0,"224,680",1,"3,096,160"
SOUSCRIPTION MICROSOFT 365PORTALIS,,12 Months,Cloud,"400,000",0,"23,969",1,"687,628"
PRESTATION DE SERVICE /CONFEMEN,,12 Months,Integration Sales,"300,000",0,0,1,"300,000"
LICENCES M365 E5,,12 Months,Cloud,"507,905",0,0,1,"507,905"
LICENCES M365 E5,,12 Months,Cloud,"1,345,410",0,0,1,"1,345,410"
FUMOA POSTE TELEPHONIQUE+MAJ PABX,,12 Months,Integration Sales,"858,914",0,0,1,"858,914"
LICENCE FORTI VM + LICENCE WINDOWS SERVER STANDARD,,12 Months,Integration Sales,"4,649,345",0,0,1,"4,649,345"
FORTITOKEN,,12 Months,Integration Sales,"611,137",0,0,1,"611,137"
SOUSCRIPTION HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
CLOUD TEMPORAIRE,,12 Months,Cloud,"1,816,480",0,0,1,"1,816,480"
MORE FOR SAME UPGRADE NT1009 VERS 15 MBPS,,12 Months,Integration Services,0,"450,000","450,000",1,0
RENOUVELLEMENT LICENCE VEAM,,12 Months,Cloud,"841,811",0,0,1,"841,811"
FORTI AP 431,,12 Months,Integration Sales,"426,843",0,0,1,"426,843"
FORT AP 431F,,12 Months,Integration Sales,"426,843",0,0,1,"426,843"
95 LICENCES M365,,12 Months,Cloud,"7,134,975",0,0,1,"7,134,975"
Renouvellement de licence Kaspersky Next EDR Optimum,,12 Months,Integration Services,"3,602,020",0,0,1,"3,602,020"
SOUSCRIPTION HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
CONFIGURATION SYSTEME TELEPHONIQUE POUR BUSINESS TALK\_C2A SEN,,12 Months,Integration Services,"110,000",0,0,1,"110,000"
LICENCE M365 PREMIUM,,12 Months,Cloud,"4,177,355",0,0,1,"4,177,355"
FOURNITURE ET INSTALLATION DE LICENCES TELEPHONIQUES CISCO PARC EOLIEN TAIBA NDIAYE,,12 Months,Integration Services,"1,471,345",0,0,1,"1,471,345"
FIBRE IMMO PACK MEDIUM,Fibre Immo \_Pack Medium\_7 à 12 appartements,12 Months,Integration Sales,"1,205,000",0,0,1,"1,205,000"
NA HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
LS & WIFI COJOJ DAKAR 2026,,12 Months,Integration Services,"2,301,561",0,0,1,"2,301,561"
FAP 431F,,12 Months,Integration Sales,"426,843",0,0,1,"426,843"
SOUSCRIPTION HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
STE MATSPACE TECHNOLOGY - SUARL,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
extension pack de 5 boites mail de 50 à 100 G,,12 Months,Cloud,0,0,"15,000",1,"180,000"
BATILUX-PROJET DE CONSTRUCTION DU CENTRE NATIONAL D'ONCOLOGIE A DIMANIADIO,,12 Months,Integration Sales,"256,996,237",0,0,1,"256,996,237"
Renouvellement de licence FortiAnalyzer,,12 Months,Integration Sales,"118,007",0,0,1,"118,007"
OFFRE CLOUD IaaS HUAWEI\_OZ STREAM,,36 Months,Cloud,0,0,0,1,0
Offre M365\_OZ STREAM,,12 Months,Cloud,0,0,0,1,0
LICENCES SOFTPHONE,,12 Months,Integration Sales,"2,508,196",0,0,1,"2,508,196"
Acquisition office 365 OSM,,12 Months,Cloud,"441,824",0,0,1,"441,824"
RENOUVELLEMENT CERTIFICAT SSL,,12 Months,Cloud,"350,919",0,0,1,"350,919"
Hébergement de Machine Virtuelle,,12 Months,Cloud,"2,092,000",0,0,1,"2,092,000"
POC FLEX JOKKO,,12 Months,Cloud,0,0,0,1,0
Orange fleet \_SICOTAME,Boitier FMB204 Achat,12 Months,Integration Sales,"375,000",0,0,5,"375,000"
Orange fleet \_SICOTAME,Orange Fleet Pro+,12 Months,Integration Services,0,0,"9,000",5,"540,000"
4 LICENCES M365 BUSINESS STANDARD,,12 Months,Cloud,"236,000",0,"34,939",1,"655,268"
FLEX JOKKO\_ IPSOS,FLEX JOKKO\_Pack Talk,12 Months,Cloud,"10,000",0,"5,900",1,"80,800"
migration de la ligne 338792009 vers flex jokko,FLEX JOKKO\_Pack Costumer Care,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
SOUSRIPTION BM TAL,,12 Months,Cloud,0,0,"7,000",1,"84,000"
CLOUD BACK UP IAM,,36 Months,Cloud,"400,000",0,"518,160",1,"6,617,920"
SWITCH ALCATEL POE,,12 Months,Integration Sales,"586,667",0,0,1,"586,667"
ACQUISITION CAMERA ET CABLAGE,,12 Months,Integration Sales,"10,356,483",0,0,1,"10,356,483"
MON PACK E BUSINESS,Mon pack E-business,12 Months,Cloud,0,0,"10,169",1,"122,034"
INTERVENTION SUR LE PABX\_ MAGIC LAND,,12 Months,Integration Services,"100,000",0,0,1,"100,000"
NA HOSTING PRO,NOM DE DOMAINE SENEGAL (.SN),12 Months,Cloud,0,0,"3,500",1,"42,000"
NA HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
Maintenance et Reconfiguration PABX,,12 Months,Integration Services,"110,000",0,0,1,"110,000"
NA FLEX JOKKO\_AMERICAN SHOP BY TOUTOU,FLEX JOKKO\_Extension Licences Agent,12 Months,Cloud,0,0,"7,000",10,"840,000"
NA FLEX JOKKO\_AMERICAN SHOP BY TOUTOU,FLEX JOKKO\_Pack Costumer Care,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
Acquisition AP,,12 Months,Integration Services,"4,157,737",0,0,1,"4,157,737"
50 Licences COJOJ,,12 Months,Integration Services,"2,188,879",0,0,1,"2,188,879"
HOSTING PRO\_ SICOTAME,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
2 NA JOKKO FLEX PACK COLLABORATION,,12 Months,Cloud,"20,000",0,"10,900",2,"281,600"
2 NA JOKKO FLEX PACK COLLABORATION,,12 Months,Integration Sales,"88,000",0,0,1,"88,000"
acquisition d'une 1 licence Microsoft 365 Business Standard (abonnement mensuel),,12 Months,Cloud,"60,456",0,0,1,"60,456"
Hosting Pro,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
Licences supplémentaires M365 au prorata,,12 Months,Cloud,"133,266",0,0,1,"133,266"
FOURNITURE DE PYLONE 75 m AUTOSTABLE,,12 Months,Integration Sales,"50,000,000",0,0,1,"50,000,000"
OSM SDA FLEX JOKKO,,12 Months,Cloud,"30,100",0,"4,300",7,"391,300"
STE MACHALLAH TRANSPORT SARL,FLEX JOKKO\_Casque Logitech H111,12 Months,Cloud,"75,000",0,0,3,"75,000"
STE MACHALLAH TRANSPORT SARL,FLEX JOKKO\_Pack Costumer Care,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
VERSATILE BUSINESS GROUPE,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
EXTENSION BOITES MAILS 50Go ET 25Go\_BLUE FISH,,12 Months,Cloud,0,0,"15,000",1,"180,000"
EXTENSION BOITES MAILS 50Go ET 25Go\_BLUE FISH,,12 Months,Cloud,0,0,"10,000",1,"120,000"
RenouvellementLicenceKaspersky,,12 Months,Integration Services,"2,025,900",0,0,150,"2,025,900"
BUSINESS TALK GOLD 30Com,,12 Months,Integration Sales,0,0,0,1,0
Souscription à l'offre my business wifi,MBW\_Simply Pack\_Pack Wifi Guest\_ 1 AP,12 Months,Integration Services,0,0,"18,000",1,"216,000"
RENOUVELEMENT LICENCE KASPERSKY,,12 Months,Integration Services,"1,346,145",0,0,1,"1,346,145"
Renouvellement Licence Forti,,12 Months,Integration Services,"267,618",0,0,1,"267,618"
FORTINAC,,12 Months,Integration Services,"582,248",0,0,1,"582,248"
PABX ALCATEL+ 10 Postes téléphoniques,,12 Months,Integration Sales,"2,759,731",0,0,1,"2,759,731"
HEBERGEMENT CLOUD,,36 Months,Cloud,"200,000",0,"1,024,490",1,"12,493,880"
CLOUD Infrastructure as a Service,,12 Months,Cloud,0,0,"221,700",1,"2,660,400"
Renouvellement Licences M365,,12 Months,Cloud,"3,858,480",0,0,60,"3,858,480"
FLEX JOKKO PACK TRUNK OSM,,12 Months,Cloud,"200,000",0,"421,538",1,"5,258,456"
IASS HODI HOST,,12 Months,Cloud,0,0,"25,261",1,"303,132"
VEEAM VAULT,,12 Months,Integration Services,"268,692",0,0,1,"268,692"
M365,,12 Months,Cloud,"426,148",0,0,1,"426,148"
MICROSOFT 365 PORTALIS,,12 Months,Cloud,0,0,"7,181",2,"172,344"
Fourniture Kit satellite avec Câblage Wifi DPM,Offre intégration Vente Non Standard Simple,12 Months,Integration Sales,"1,675,332",0,0,1,"1,675,332"
Renouvellement licence fortigate,,12 Months,Integration Sales,"271,667",0,0,1,"271,667"
STE MACHALLAH TRANSPORT SARL,FLEX JOKKO\_Poste Grandstream GXP1620,12 Months,Cloud,"190,000",0,0,5,"190,000"
Fourniture et installation carte HBA,,12 Months,Integration Sales,"1,173,182",0,0,1,"1,173,182"
PMO PROJET COJOJ,,12 Months,Integration Services,"335,760,646",0,0,1,"335,760,646"
AO refonte cablage + ToIP,,12 Months,Integration Sales,"1,947,060",0,0,1,"1,947,060"
STE MACHALLAH TRANSPORT SARL,FLEX JOKKO\_Casque Logitech H111,12 Months,Cloud,"25,000",0,0,2,"25,000"
Acquisition PABX cloud 3CX,,12 Months,Integration Services,"3,281,333",0,0,1,"3,281,333"
MISE EN PLACE D'UN IPBX ET D'UN CABLAGE WIFI TOIP AU SIEGE DE LA FSF,,12 Months,Integration Sales,"41,885,242",0,0,1,"41,885,242"
LICENCE M365 BUSINESS STANDARD,,12 Months,Cloud,"3,050,150",0,0,50,"3,050,150"
10 LICENCES M365 BUSINESS PREMIUM,,12 Months,Cloud,"1,059,120",0,0,10,"1,059,120"
NEGUS GROU OFFRE PACK 5MAILS DE 5GO+ HOSTING PRO,,24 Months,Cloud,0,0,"2,000",1,"24,000"
NEGUS GROU OFFRE PACK 5MAILS DE 5GO+ HOSTING PRO,,24 Months,Cloud,0,0,"7,203",1,"86,441"
NEGUS GROU OFFRE PACK 5MAILS DE 5GO+ HOSTING PRO,Webhosting Pro,24 Months,Cloud,0,0,"7,203",1,"86,441"
FLEX JOKKO/LEGALFIELD SAS,,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
FLEX JOKKO/LEGALFIELD SAS,,12 Months,Integration Sales,"76,000",0,0,2,"76,000"
PABX,,12 Months,Integration Services,"1,828,293",0,0,1,"1,828,293"
Poste téléphonique wifi,,12 Months,Integration Services,"45,000",0,0,1,"45,000"
LICENCE XDR,,12 Months,Integration Services,"200,000",0,0,1,"200,000"
TIMUS ASSURANCE - LICENCES MICROSOFT (3),,12 Months,Integration Services,"198,276",0,0,3,"198,276"
Serveur-virtuel,Serveur Virtuel GU.01,12 Months,Cloud,0,0,"106,200",1,"1,274,400"
BAAMTU OFFRE SUR MESURE HEBERGEMENT CLOUD,,12 Months,Cloud,0,0,"248,360",1,"2,980,320"
OSM Licence Business Premium,,12 Months,Cloud,"1,588,680",0,0,15,"1,588,680"
OSM Licence M365 Business Standard,,12 Months,Cloud,"6,100,300",0,0,100,"6,100,300"
Acquisition boitier fortigate 71F,,12 Months,Integration Sales,"1,276,873",0,0,1,"1,276,873"
Licence Microsoft 365 STANDARD \_ AEME,,12 Months,Cloud,"450,404",0,"50,404",1,"1,055,252"
EXTENSION STOCKAGE 5 BOITES EMAIL VERS 10Go CLD0003815,,12 Months,Cloud,0,0,"3,000",1,"36,000"
50 MICROSOFT OFFICE 365,,12 Months,Cloud,"1,258,600",0,0,1,"1,258,600"
75 MICROSOFT O365,,12 Months,Cloud,"2,380,425",0,0,1,"2,380,425"
PIXPAY LICENCES M365,,12 Months,Cloud,"1,842,047",0,0,1,"1,842,047"
FLEXJOKO,FLEX JOKKO\_Pack Costumer Care,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
FLEXJOKO,FLEX JOKKO\_Poste Grandstream GXP1620,12 Months,Cloud,"114,000",0,0,3,"114,000"
FLEXJOKO,FLEX JOKKO\_Poste Grandstream GRP2612W,12 Months,Cloud,"88,000",0,0,1,"88,000"
FLEXJOKO,FLEX JOKKO\_Poste Yealink SIP-T48S,12 Months,Cloud,"190,000",0,0,1,"190,000"
INFRASTRUCTURE AS A SERVICE,,12 Months,Cloud,0,0,"25,261",1,"303,132"
PABX ET POSTES IP,,12 Months,Integration Sales,"1,095,622",0,0,1,"1,095,622"
BUSINESS TALK SILVER + PABX ET POSTES GRANDSTREAM,,12 Months,Integration Sales,"347,566",0,0,1,"347,566"
RENOUVELLEMENT LICENCES MICROSOFTH,,12 Months,Cloud,"11,138,801",0,0,1,"11,138,801"
ACQUISITION DE POSTES TELEPHONIQUE,,12 Months,Integration Sales,"498,295",0,0,1,"498,295"
Ambassade-Liban-ContratDeMaintenance,,12 Months,Integration Services,"428,483",0,0,1,"428,483"
RENOUVELLEMENT LICENCES,,12 Months,Integration Sales,"135,141,113",0,0,1,"135,141,113"
CLOUD IAAS HUAWEI,,12 Months,Cloud,"300,000",0,"188,000",1,"2,556,000"
FLEX JOKKO,FLEX JOKKO\_Pack Collaboration,12 Months,Cloud,"20,000",0,"10,900",2,"281,600"
PACK E-BUSINESS,Mon pack E-business,12 Months,Cloud,0,0,"10,169",1,"122,034"
ABONNEMENT AU SERVICE MICROSOFT 365,,12 Months,Cloud,"126,000",0,0,3,"126,000"
ABONNEMENT AU SERVICE MICROSOFT 365,,12 Months,Cloud,0,0,"3,500",1,"42,000"
Câblage Réseaux \_ EMASE,,12 Months,Integration Services,"2,688,282",0,0,1,"2,688,282"
AMBASSADE-RWANDA-PABX-PosteIP,,12 Months,Integration Sales,"908,151",0,0,1,"908,151"
Câblage Réseaux et téléphonie \_ EMASE,,12 Months,Integration Sales,"2,168,776",0,0,1,"2,168,776"
Fleex-Jokoo,FLEX JOKKO\_Pack Talk,12 Months,Cloud,"10,000",0,"5,900",1,"80,800"
Fleex-Jokoo,FLEX JOKKO\_Poste Grandstream GXP1620,12 Months,Cloud,"38,000",0,0,1,"38,000"
PAPY SERVICES OFFRE FLEX JOKKO PACK COLLAB,FLEX JOKKO\_Pack Collaboration,12 Months,Cloud,"20,000",0,"10,900",2,"281,600"
FLEX JOKKO TRUNK,,12 Months,Integration Services,"307,692",0,"252,924",1,"3,342,780"
RENOUVELLEMENT LICENCES FORTI 100F,,12 Months,Integration Services,"1,677,821",0,0,1,"1,677,821"
STE KEUR MAREME FRIPERIES SARL,FLEX JOKKO\_Pack Costumer Care,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
Extention-Cloud-P2I-Africa,,36 Months,Cloud,0,0,"24,400",1,"292,800"
Acquisition de Licences Microsoft 365,,12 Months,Cloud,"2,558,160",0,0,40,"2,558,160"
CONTRAT DE MAINTENANCE,,12 Months,Integration Services,"800,000",0,0,1,"800,000"
Orange Fleet Pro\_ Location,,12 Months,Integration Services,0,0,"8,000",2,"192,000"
Hosting pro,Webhosting Pro,24 Months,Cloud,0,0,"7,203",1,"86,441"
Backup-FH-SSB-25M,,36 Months,Integration Services,0,0,"29,970",1,"359,640"
NEGUS OFFRE HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",2,"172,881"
MIGRATION ND 339611818 VERS FLEX JOKKO Pack Customer Care,FLEX JOKKO\_Pack Costumer Care,12 Months,Cloud,"25,000",0,"45,000",1,"565,000"
MIGRATION ND 339611818 VERS FLEX JOKKO Pack Customer Care,FLEX JOKKO\_Poste Grandstream GXP1620,12 Months,Cloud,"76,000",0,0,2,"76,000"
MIGRATION ND 339611818 VERS FLEX JOKKO Pack Customer Care,FLEX JOKKO\_Poste Grandstream GRP2612W,12 Months,Cloud,"88,000",0,0,1,"88,000"
MIGRATION LICENCE BASIC VERS PREMIUIM M365,,12 Months,Integration Services,0,0,"9,506",1,"114,072"
Intégration d'une Passerelle SIP,,12 Months,Integration Services,"1,445,744",0,0,1,"1,445,744"
35 Licences Standard M365,,12 Months,Cloud,"2,135,094",0,0,1,"2,135,094"
HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
Pack Collaboration de Flex Jokko.,FLEX JOKKO\_Pack Collaboration,12 Months,Cloud,"10,000",0,"10,900",1,"140,800"
Acquisition Certificat de Securité WildCard africalubeservices.com,,12 Months,Cloud,"289,620",0,0,1,"289,620"
Hosting Pro,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
"Cablage, Pabx & Postes IP",,12 Months,Integration Services,"2,692,191",0,0,1,"2,692,191"
HEBERGEMENT CLOUD,,12 Months,Cloud,"400,000",0,"443,000",1,"5,716,000"
MIGRATION 338422172 BUSINESS TALK GOLD+ INTEGRATION,,12 Months,Integration Sales,"704,754",0,0,1,"704,754"
INFRASTRUCTURE AS A SERVICE,,12 Months,Cloud,0,0,"23,526",1,"282,312"
Hosting Pro,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
Serveur-DELL,,24 Months,Integration Sales,"20,682,232",0,0,1,"20,682,232"
Fourniture-De-Licences-CAL-Windows,,24 Months,Cloud,"16,890,216",0,1,1,"16,890,228"
Mandarine-PABX,,12 Months,Integration Sales,"449,331",0,1,1,"449,343"
WOUFARIM OFFRE CABLAGE WIFI,,12 Months,Integration Sales,"1,763,281",0,1,1,"1,763,293"
EXTENSION BOITE EMAIL,,12 Months,Cloud,0,0,"3,000",1,"36,000"
FLEX-JOKKO-ALICOTOURS,FLEX JOKKO\_Pack Talk,12 Months,Cloud,"40,000",0,"5,900",4,"323,200"
FLEX-JOKKO-ALICOTOURS,FLEX JOKKO\_Poste Grandstream GXP1620,12 Months,Cloud,"152,000",0,0,4,"152,000"
osm augmentation de la capacité de stockage,,12 Months,Cloud,0,0,"10,000",5,"600,000"
INFRASTRUCTURE AS A SERVICE,,12 Months,Cloud,0,0,"109,727",1,"1,316,724"
NEGUS GROU OFFRE PACK 5MAILS DE 5GO+ HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
